seed,projection,n_train,n_test,n_families_train,n_families_test,gpfn_pearson,gpfn_spearman,pcr_pearson,pcr_spearman,eff_rank,wall_clock_seconds
23,screen_pca:2000,4064,1066,31,8,0.460627,0.433498,0.45289,0.422583,,216.4
23,hybrid:50,4064,1066,31,8,0.308815,0.289702,0.308921,0.296611,,218.6
23,bag:10,4064,1066,31,8,0.200971,0.191096,0.450504,0.426877,,226.7
24,pca,4039,1091,31,8,0.439269,0.42226,0.504531,0.488593,,121.7
24,pls,4039,1091,31,8,0.417348,0.427595,0.399162,0.413785,100,170.6
24,pls_mm,4039,1091,31,8,0.434392,0.44419,0.399162,0.413785,100,218.7
24,screen_pca:2000,4039,1091,31,8,0.439693,0.410768,0.459734,0.420358,,221.2
24,hybrid:50,4039,1091,31,8,0.318221,0.30977,0.339356,0.327578,,223.5
24,bag:10,4039,1091,31,8,0.343324,0.327728,0.487637,0.47028,,231.5
25,pca,4089,1041,31,8,0.354925,0.343126,0.414119,0.407041,,125.1
25,pls,4089,1041,31,8,0.443738,0.45876,0.456345,0.460164,100,173.2
25,pls_mm,4089,1041,31,8,0.480052,0.487393,0.456345,0.460164,100,221.0
25,screen_pca:2000,4089,1041,31,8,0.450386,0.434166,0.474194,0.453041,,223.5
25,hybrid:50,4089,1041,31,8,0.371829,0.355414,0.407045,0.411032,,225.9
25,bag:10,4089,1041,31,8,0.290398,0.2796,0.404891,0.398473,,234.4
26,pca,4091,1039,31,8,0.508287,0.495675,0.589046,0.578197,,126.2
26,pls,4091,1039,31,8,0.462351,0.457829,0.453444,0.437736,100,171.5
26,pls_mm,4091,1039,31,8,0.486338,0.482669,0.453444,0.437736,100,218.0
26,screen_pca:2000,4091,1039,31,8,0.433425,0.429426,0.467501,0.455996,,220.4
26,hybrid:50,4091,1039,31,8,0.264938,0.259838,0.174051,0.379884,,222.5
26,bag:10,4091,1039,31,8,0.396413,0.371387,0.58405,0.575442,,229.5
27,pca,4066,1064,31,8,0.394968,0.376286,0.420502,0.409387,,118.8
27,pls,4066,1064,31,8,0.368521,0.385741,0.372728,0.360656,100,167.3
27,pls_mm,4066,1064,31,8,0.401179,0.408685,0.372728,0.360656,100,217.8
27,screen_pca:2000,4066,1064,31,8,0.408803,0.404654,0.433152,0.425762,,220.3
